AQC00914000       21392R
USC00092055        4648R
USC00092159        4962Q
USC00092180        5046S
USC00092266        4589S
USC00092283        5619S
USC00092318        4842R
USC00092361        4674S
USC00092408        5411R
USC00092429        5304R
USC00092450        5190R
USC00092475        6143R
USC00092485        5298S
USC00092493        5533R
USC00092517        4848R
USC00092532        4569R
USC00092570        5047R
USC00092578        5851R
USC00092716        4786R
USC00092738        5722Q
USC00092791        5418R
USC00092839        4730S
USC00092966        4693S
USC00093060        4798S
USC00093115        5829S
USC00093147        5192S
USC00093271        4854R
USC00093325        4743R
USC00093386        4650R
USC00093465        5176S
USC00093538        4957S
USC00093570        5151R
USC00093578        5186Q
USC00093621        5316S
USC00093658        5130Q
USC00093695        4420S
USC00093754        4694R
USC00094133        4859R
USC00094170        4597R
USC00094204        4855Q
USC00094230        6859R
USC00094429        5025S
USC00094594        4458R
USC00094648        5698S
USC00094674        4762R
USC00094700        4897S
USC00094728        4681S
USC00094862        4881Q
USC00094941        5850R
USC00094949        5229R
USC00095061        4946Q
USC00095204        4535R
USC00095314        4506S
USC00095394        4968R
USC00095401        5117Q
USC00095404        5511R
USC00095666        4952Q
USC00095811        4989R
USC00095858        4675R
USC00095863        4460R
USC00095874        4703R
USC00095882        4373R
USC00095979        4607S
USC00095988        4589R
USC00096043        5079S
USC00096087        4978S
USC00096093        6861Q
USC00096148        5070Q
USC00096219        5185Q
USC00096244        4943Q
USC00096335        5090R
USC00096407        5473R
USC00096650        4667Q
USC00097087        4879S
USC00097171        4735Q
USC00097201        4973S
USC00097430        5040R
USC00097489        4667R
USC00097528        4794Q
USC00097600        5407S
USC00097777        4697S
USC00097808        5057R
USC00097827        6660R
USC00098064        4608S
USC00098223        4450R
USC00098241        4960Q
USC00098351        4680R
USC00098436        5496R
USC00098476        4611R
USC00098496        4510R
USC00098535        4970R
USC00098600        4715S
USC00098661        4840R
USC00098666        5315Q
USC00098703        4730S
USC00098740        5738S
USC00098950        4977S
USC00098974        5420Q
USC00099027        4846Q
USC00099077        5410R
USC00099124        4813Q
USC00099157        4405S
USC00099186        5005S
USC00099194        4780R
USC00099291        5008R
USC00099466        4876R
USC00099486        4968R
USC00099502        5395R
USC00099506        4778S
USC00099524        5068R
USC00100010         914S
USC00100227        1179R
USC00100347        1635R
USC00100375        1042R
USC00100448        1900R
USC00100470        1922R
USC00100528        3443Q
USC00100667        2453R
USC00100803        1718R
USC00100915        1129Q
USC00101017        1864S
USC00101079        2047R
USC00101180        1598R
USC00101195         762R
USC00101220        1004R
USC00101363        3158R
USC00101380        1110R
USC00101408        2098R
USC00101514        2306S
USC00101551         961R
USC00101636        2795S
USC00101663         839R
USC00101671         804R
USC00101956        2568R
USC00102159        2229S
USC00102187        2171Q
USC00102246        2112R
USC00102260        1561R
USC00102444         997R
USC00102575        2491R
USC00102676        1714Q
USC00102707        1290S
USC00102845        2494S
USC00102875        3068R
USC00102942        1381S
USC00103108        1325Q
USC00103110        1192R
USC00103143        3828R
USC00103297        1127R
USC00103448        2652R
USC00103554        1743R
USC00103631        1046Q
USC00103732        1547S
USC00103760         715R
USC00103771        2359R
USC00103882        1365R
USC00103932        1018R
USC00103964         962R
USC00104140        1091S
USC00104150        4017R
USC00104268        1409R
USC00104295        1064Q
USC00104384         778R
USC00104442        2241R
USC00104455        1425R
USC00104456        1629S
USC00104598        2624R
USC00104670        1071S
USC00104793        2431R
USC00104831        3375R
USC00104845        1796R
USC00105013        2435R
USC00105143        1681Q
USC00105177         934Q
USC00105275        1126S
USC00105462         979R
USC00105563        1065R
USC00105567         973R
USC00105678        1244R
USC00105685         867R
USC00105708        2572S
USC00105716        1661R
USC00105897        1610R
USC00105980         953R
USC00106152        2707S
USC00106174        1055R
USC00106230        3796R
USC00106250        1309Q
USC00106305        1094S
USC00106388        2236Q
USC00106424        1985S
USC00106542        1133S
USC00106586        2191R
USC00106844        1020R
USC00106877        1008R
USC00106891        1116R
USC00107040        1295R
USC00107046        4243R
USC00107208        1359R
USC00107210        1325Q
USC00107264        2077R
USC00107301        2591R
USC00107320        3768R
USC00107346        1747R
USC00107386        3146R
USC00107563        2628Q
USC00107644        1336R
USC00107648        1027S
USC00107673        1106S
USC00107706        1721R
USC00107808        1218Q
USC00107968         995R
USC00108022        1454R
USC00108062        3053R
USC00108076        1055Q
USC00108080         951R
USC00108137        3391R
USC00108380        1061R
USC00108395        1543Q
USC00108412        2131Q
USC00108535        1593R
USC00108676        1225R
USC00108928         820R
USC00108937        1874R
USC00109000        1496R
USC00109065        1925Q
USC00109293         953R
USC00109303        1112S
USC00109498        3844R
USC00109560        2408Q
USC00109638        1262R
USC00109846        2252R
USC00109950        2247Q
USC00109951        2683R
USC00109963        2181R
USC00110050        3989R
USC00110072        3729R
USC00110137        4130R
USC00110140        3813Q
USC00110146        3761Q
USC00110187        5038S
USC00110203        3668R
USC00110306        3864Q
USC00110330        3961R
USC00110338        3769R
USC00110356        3708S
USC00110442        3817R
USC00110492        3597R
USC00110500        4025R
USC00110583        3829R
USC00110598        3942S
USC00110608        4460R
USC00110761        3957R
USC00110764        3924Q
USC00110803        3733R
USC00110868        3603S
USC00110993        4822S
USC00111020        4097R
USC00111083        3881Q
USC00111160        4273R
USC00111236        3769Q
USC00111250        3998R
USC00111265        4717S
USC00111280        3906R
USC00111290        4350R
USC00111296        4559R
USC00111302        4742R
USC00111316        4076R
USC00111329        4340R
USC00111386        4346R
USC00111420        3650S
USC00111436        4267R
USC00111475        3552R
USC00111491        4478S
USC00111497        3775S
USC00111627        3665R
USC00111655        4077Q
USC00111664        4587Q
USC00111691        4458Q
USC00111700        4428S
USC00111743        4090S
USC00111836        3784R
USC00112048        3724R
USC00112125        3765Q
USC00112140        4202S
USC00112145        4148S
USC00112193        4032R
USC00112223        3698S
USC00112344        4354R
USC00112348        3840S
USC00112353        4928R
USC00112483        4630S
USC00112500        3677R
USC00112510        3699Q
USC00112679        4320R
USC00112685        4286Q
USC00112709        3764Q
USC00112736        3776R
USC00112745        3668R
USC00112854        3958Q
USC00112923        3479S
USC00112931        4426S
USC00112993        3859R
USC00113061        4125R
USC00113106        4488Q
USC00113109        4457S
USC00113120        4696Q
USC00113132        3752Q
USC00113262        3606S
USC00113290        3360R
USC00113312        3714S
USC00113320        3808S
USC00113335        3778R
USC00113384        3781R
USC00113392        3767R
USC00113413        3672R
USC00113455        3675R
USC00113490        3876Q
USC00113530        3966R
USC00113572        4019R
USC00113580        4900R
USC00113595        4428R
USC00113612        4697Q
USC00113666        4019S
USC00113683        4168R
USC00113693        3953R
USC00113717        3858R
USC00113738        3522R
USC00113774        4007R
USC00113879        4746R
USC00113902        3641R
USC00113940        3980R
USC00114013        3618R
USC00114078        4449Q
USC00114089        4364S
USC00114108        4139R
USC00114198        3936S
USC00114317        4473R
USC00114355        3579S
USC00114400        4395R
USC00114442        3945S
USC00114447        4040Q
USC00114489        4060S
USC00114530        3681S
USC00114603        3916S
USC00114629        4294R
USC00114655        3703R
USC00114710        3760R
USC00114739        3928R
USC00114756        4339R
USC00114780        4062R
USC00114805        3783S
USC00114816        3873Q
USC00114823        3982S
USC00114833        3774Q
USC00114837        3677R
USC00114879        3697R
USC00114890        3658Q
USC00114957        4551S
USC00114991        4428Q
USC00115038        3885Q
USC00115079        3960R
USC00115097        3852Q
USC00115110        3962R
USC00115113        3917Q
USC00115209        4508Q
USC00115219        4151Q
USC00115272        3848R
USC00115280        3817R
USC00115313        3694Q
USC00115326        3551R
USC00115342        4854R
USC00115372        3837S
USC00115385        4480Q
USC00115413        3698R
USC00115430        4010S
USC00115493        3489R
USC00115515        4588R
USC00115539        3933R
USC00115562        3713Q
USC00115646        3848Q
USC00115712        3767R
USC00115758        3688R
USC00115763        3960Q
USC00115768        3938S
USC00115772        3852R
USC00115792        3901R
USC00115825        3791R
USC00115833        3776R
USC00115841        3738S
USC00115876        3862R
USC00115888        4594R
USC00115901        3964S
USC00115927        3782R
USC00115935        3911R
USC00115943        4340S
USC00115950        3903R
USC00115961        3655R
USC00115983        4508R
USC00116011        4012S
USC00116024        4129Q
USC00116025        4293Q
USC00116065        3728Q
USC00116072        4387R
USC00116080        3502S
USC00116134        3955R
USC00116157        4412R
USC00116159        4256R
USC00116200        3934S
USC00116281        3882Q
USC00116344        4088Q
USC00116383        4860R
USC00116446        4742S
USC00116526        3572S
USC00116558        4425R
USC00116579        4110R
USC00116610        4235S
USC00116616        4103S
